"","NOM_MUN_ORIGINAL_MAL","datos_original_mal","datos_localidad_bien","NOM_MUN_LOCALIDAD_BIEN","CVEGEO","dist"
"139","Tlahuiltepa","13071_Tlanchinol","13071_Tonchi","Tlahuiltepa","1307101360029800",0.152777777777778
"140","Atlapexco","13011_Calnali","13081_Coatlila","Zacualtipán de Ángeles","1308100040059800",0.153013653013653
"141","Calnali","13014_Barrio San Juan Mezcalpa","13029_Barrio San Juan Mandho","Huichapan","1302901180078800",0.16031746031746
"142","San Salvador","13054_Yolotepec","13034_Contepec","Lolotla","130340009003A800",0.16031746031746
"143","Tlahuelilpan","13070_Tlanchinol","13075_Tlaloc","Tolcayuca","1307500120013800",0.162247474747475
"144","Metztitlán","13037_Colonia Tenhe","13037_Tablon Chico","Metztitlán","1303700740084800",0.162585282651072
"145","Tianguistengo","13068_San Jose Las Cruces","13061_San Jose De Jesus","Tepeapulco","1306100730037800",0.164286803966438
"146","Francisco I. Madero","13023_El Quince","13024_El Huariche","Huasca de Ocampo","1302400700014800",0.164705882352941
"147","Francisco I. Madero","13023_El Quince","13052_El Huizache","San Agustín Tlaxiaca","1305200330023800",0.164705882352941
"148","Juárez Hidalgo","13033_Lolotla","13037_Olotla","Metztitlán","130370029007A800",0.165811965811966
"149","Juárez Hidalgo","13033_Lolotla","13037_Zotola","Metztitlán","1303700600050800",0.165811965811966
"150","Juárez Hidalgo","13033_Lolotla","13073_Lontla","Tlanchinol","1307300240023800",0.165811965811966
"151","Juárez Hidalgo","13033_Lolotla","13073_Olotla","Tlanchinol","1307300250038800",0.165811965811966
"152","San Agustín Metzquititlán","13036_San Bartolo Tutotepec","13061_San Bartolome Tepetates","Tepeapulco","1306100140037800",0.169072870971921
"153","Tepetitlán","13064_Tianguistengo","13073_Tianguis","Tlanchinol","1307300450038800",0.170426065162907
"154","Tepetitlán","13064_Tianguistengo","13073_Tianguis","Tlanchinol","1307300450038800",0.170426065162907
"155","Mixquiahuala de Juárez","13041_Mixquiahuala  (La Pena)","13047_Mixquiahuales","Pacula","1304700140023800",0.173018753781004
"156","Santiago Tulantepec de Lugo Guerrero","13056_Tasquillo","13046_Talol","San Felipe Orizatlán","1304600550045800",0.174747474747475
"157","La Misión","13040_Barrio Santa Maria","13073_Barrio Santa Cecilia","Tlanchinol","1307301190042800",0.176731893837157
"158","Tasquillo","13058_Tenango De Doria","13018_Tenango","Chapulhuacán","1301800430021800",0.177156177156177
"159","Tasquillo","13058_Tenango De Doria","13018_Tenango","Chapulhuacán","1301800430021800",0.177156177156177
"160","Juárez Hidalgo","13033_La Mision","13032_La Ilusion","Jaltocán","1303200160016800",0.177777777777778
"161","Tecozautla","13059_Barrio Morales","13025_Barrio Alto","Huautla","1302500720026800",0.182633053221289
